intake_id,item_name,status,profile,category,Category_Group,track,pathway,gpu_model,vram_gb,unified_memory_gb,screen_size_in,thermal_flag,price_aud,Over_Budget,Price_Unknown,condition,retailer,verification_status,au_stock,seller_class,source_platform,batch,source_file,exceptional_override,shortlist_reason,soft_penalty_notes,Machine,Type,Performance_Headroom,Price_Value,Future_Proof,Portability,Track2_Avoidance,Upgrade_Ceiling,MCDA_Total,seller_risk_score,current_best_price_aud,current_best_retailer,current_best_url,in_stock_now,student_discount_possible,cashback_possible,cashback_source,stackable_coupons_confirmed,price_match_possible,price_beat_possible,effective_best_price_aud,promo_notes,pricing_checked_at,warranty_months_confirmed,acl_covered
intake-034,Lenovo ThinkStation P330 Tiny Desktop,ACTIVE,Desktop,desktop,Complete_System,2,B,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,469.0,No,,Refurbished,UNKNOWN,Unverified,UNKNOWN,UNKNOWN,UNKNOWN,2026-05-05_notebooklm_batch1_processed,cards/desktops/intake-034_lenovo-thinkstation-p330-tiny-desktop.md,,Passed gates,Unverified — confirm specs before scoring; AU stock: UNKNOWN,intake-034,Candidate,3,10,3,2,0,9.0,,,,,,,,,,,,,,,,,
intake-065,Dell OptiPlex 5060 SFF,ACTIVE,Desktop,desktop,Complete_System,2,B,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,238.99,No,,Refurbished,UNKNOWN,Unverified,UNKNOWN,UNKNOWN,UNKNOWN,2026-05-05_notebooklm_batch1_processed,cards/desktops/intake-065_dell-optiplex-5060-sff.md,,Passed gates,Unverified — confirm specs before scoring; AU stock: UNKNOWN,intake-065,Candidate,3,10,3,2,0,5.0,,,,,,,,,,,,,,,,,
intake-007,PLE AI Advanced RTX 5070 Ti Desktop,ACTIVE,Desktop,desktop,Complete_System,1.5,UNKNOWN,RTX 5070 Ti,16.0,UNKNOWN,UNKNOWN,UNKNOWN,3907.0,No,,New,UNKNOWN,Unverified,UNKNOWN,UNKNOWN,UNKNOWN,2026-05-05_notebooklm_batch1_processed,cards/desktops/intake-007_ple-ai-advanced-rtx-5070-ti-desktop.md,,Passed gates,Unverified — confirm specs before scoring; AU stock: UNKNOWN,intake-007,Candidate,7,5,7,2,7,7.0,,,,,,,,,,,,,,,,,
intake-016,OKINOS Studio Pro - RTX 5070 Ti/3090,ACTIVE,Desktop,desktop,Complete_System,1.5,UNKNOWN,RTX 5070 Ti,16.0,UNKNOWN,UNKNOWN,UNKNOWN,3599.0,No,,New,UNKNOWN,Unverified,UNKNOWN,UNKNOWN,UNKNOWN,2026-05-05_notebooklm_batch1_processed,cards/desktops/intake-016_okinos-studio-pro-rtx-5070-ti3090.md,,Passed gates,Unverified — confirm specs before scoring; AU stock: UNKNOWN,intake-016,Candidate,7,6,7,2,7,7.0,,,,,,,,,,,,,,,,,
intake-017,Budget build,ACTIVE,Desktop,diy build,Complete_System,1.5,UNKNOWN,RTX 4060 Ti,16.0,UNKNOWN,UNKNOWN,UNKNOWN,899.0,No,,New,UNKNOWN,Unverified,UNKNOWN,UNKNOWN,UNKNOWN,2026-05-05_notebooklm_batch1_processed,cards/desktops/intake-017_budget-build.md,,Passed gates,Unverified — confirm specs before scoring; AU stock: UNKNOWN,intake-017,Candidate,7,10,7,2,7,7.0,,,,,,,,,,,,,,,,,
intake-032,TOPAZ SNOW PC,ACTIVE,Desktop,desktop,Complete_System,1.5,UNKNOWN,RTX 5070 Ti,16.0,UNKNOWN,UNKNOWN,UNKNOWN,2699.0,No,,New,UNKNOWN,Unverified,UNKNOWN,UNKNOWN,UNKNOWN,2026-05-05_notebooklm_batch1_processed,cards/desktops/intake-032_topaz-snow-pc.md,,Passed gates,Unverified — confirm specs before scoring; AU stock: UNKNOWN,intake-032,Candidate,7,8,7,2,7,7.0,,,,,,,,,,,,,,,,,
intake-033,VISION ONYX PC,ACTIVE,Desktop,desktop,Complete_System,1.5,UNKNOWN,RTX 5080,16.0,UNKNOWN,UNKNOWN,UNKNOWN,3999.0,No,,New,UNKNOWN,Unverified,UNKNOWN,UNKNOWN,UNKNOWN,2026-05-05_notebooklm_batch1_processed,cards/desktops/intake-033_vision-onyx-pc.md,,Passed gates,Unverified — confirm specs before scoring; AU stock: UNKNOWN,intake-033,Candidate,7,5,7,2,7,7.0,,,,,,,,,,,,,,,,,
intake-037,Thermaltake Horizon Xtreme tower + X1 Carbon,ACTIVE,Desktop,desktop,Complete_System,1.5,UNKNOWN,RTX 4080 Super,16.0,UNKNOWN,UNKNOWN,UNKNOWN,4543.0,No,,New,UNKNOWN,Unverified,UNKNOWN,UNKNOWN,UNKNOWN,2026-05-05_notebooklm_batch1_processed,cards/desktops/intake-037_thermaltake-horizon-xtreme-tower-x1-carbon.md,,Passed gates,Unverified — confirm specs before scoring; AU stock: UNKNOWN,intake-037,Candidate,7,3,7,2,7,7.0,,,,,,,,,,,,,,,,,
intake-041,ACT Dell 3650 + A4000,ACTIVE,Desktop,desktop,Complete_System,2,B,RTX A4000,16.0,UNKNOWN,UNKNOWN,UNKNOWN,1800.0,No,,Refurbished,UNKNOWN,Unverified,UNKNOWN,UNKNOWN,UNKNOWN,2026-05-05_notebooklm_batch1_processed,cards/desktops/intake-041_act-dell-3650-a4000.md,,Passed gates,Unverified — confirm specs before scoring; AU stock: UNKNOWN,intake-041,Candidate,7,10,7,2,7,7.0,,,,,,,,,,,,,,,,,
intake-043,PLE Pixel 5070 Ti,ACTIVE,Desktop,desktop,Complete_System,1.5,UNKNOWN,RTX 5070 Ti,16.0,UNKNOWN,UNKNOWN,UNKNOWN,3799.0,No,,New,UNKNOWN,Unverified,UNKNOWN,UNKNOWN,UNKNOWN,2026-05-05_notebooklm_batch1_processed,cards/desktops/intake-043_ple-pixel-5070-ti.md,,Passed gates,Unverified — confirm specs before scoring; AU stock: UNKNOWN,intake-043,Candidate,7,5,7,2,7,7.0,,,,,,,,,,,,,,,,,
intake-044,Scorptec Eclipse RTX 5070 Ti Gaming PC,ACTIVE,Desktop,desktop,Complete_System,1.5,UNKNOWN,RTX 5070 Ti,16.0,UNKNOWN,UNKNOWN,UNKNOWN,3399.0,No,,New,UNKNOWN,Verified,UNKNOWN,UNKNOWN,UNKNOWN,2026-05-05_notebooklm_batch1_processed,cards/desktops/intake-044_scorptec-eclipse-rtx-5070-ti-gaming-pc.md,,Passed gates,AU stock: UNKNOWN,intake-044,Candidate,7,6,7,2,7,7.0,,,,,,,,,,,,,,,,,
intake-046,Acer Predator Orion 7000 RTX 4080 refurbished,ACTIVE,Desktop,desktop,Complete_System,1.5,UNKNOWN,RTX 4080,16.0,UNKNOWN,UNKNOWN,UNKNOWN,3699.0,No,,Refurbished,UNKNOWN,Unverified,UNKNOWN,UNKNOWN,UNKNOWN,2026-05-05_notebooklm_batch1_processed,cards/desktops/intake-046_acer-predator-orion-7000-rtx-4080-refurbished.md,,Passed gates,Unverified — confirm specs before scoring; AU stock: UNKNOWN,intake-046,Candidate,7,5,7,2,7,7.0,,,,,,,,,,,,,,,,,
intake-054,CONSTELLAR ONYX PC — RTX 4080 SUPER,ACTIVE,Desktop,desktop,Complete_System,1.5,UNKNOWN,RTX 4080 Super,16.0,UNKNOWN,UNKNOWN,UNKNOWN,4099.0,No,,UNKNOWN,UNKNOWN,Unverified,UNKNOWN,UNKNOWN,UNKNOWN,2026-05-05_notebooklm_batch1_processed,cards/desktops/intake-054_constellar-onyx-pc-rtx-4080-super.md,,Passed gates,Unverified — confirm specs before scoring; AU stock: UNKNOWN,intake-054,Candidate,7,4,7,2,7,7.0,,,,,,,,,,,,,,,,,
fb-044,Ultra 4K White Gaming Desktop - RTX 5080 | Ryzen 7 7800X3D | 32GB RAM,ACTIVE,Desktop,desktop,Complete_System,1.5,UNKNOWN,RTX 5080,16.0,UNKNOWN,UNKNOWN,UNKNOWN,3999.0,No,,Used,UNKNOWN,Unverified,Yes,private,FB_MARKETPLACE,facebook_marketplace_2026-06-07_processed,cards/fb-044_ultra-4k-white-gaming-desktop-rtx-5080-ryzen-7-7800x3d-32gb.md,,Passed gates,Unverified — confirm specs before scoring,fb-044,Candidate,7.0,6.0,7.0,2.0,7.0,7.0,,,,,,yes,,,,,,,,,,,
fb-048,Ultra 4K Black Gaming Desktop - RTX 5080 | Ryzen 7 7800X3D | 32GB RAM,ACTIVE,Desktop,desktop,Complete_System,1.5,UNKNOWN,RTX 5080,16.0,UNKNOWN,UNKNOWN,UNKNOWN,3729.0,No,,Used,UNKNOWN,Unverified,Yes,private,FB_MARKETPLACE,facebook_marketplace_2026-06-07_processed,cards/fb-048_ultra-4k-black-gaming-desktop-rtx-5080-ryzen-7-7800x3d-32gb.md,,Passed gates,Unverified — confirm specs before scoring,fb-048,Candidate,7.0,6.0,7.0,2.0,7.0,7.0,,,,,,yes,,,,,,,,,,,
fb-153,Dual Liquid-Cooled Workstation & Gaming PC - Ryzen 9 5900X / RX 6900XT / 64GB RAM,ACTIVE,Desktop,desktop,Complete_System,1.5,UNKNOWN,RX 6900XT,16.0,UNKNOWN,UNKNOWN,UNKNOWN,2000.0,No,,Used,UNKNOWN,Unverified,Yes,private,FB_MARKETPLACE,facebook_marketplace_2026-06-07_processed,cards/fb-153_dual-liquid-cooled-workstation-gaming-pc-ryzen-9-5900x-rx-69.md,,Passed gates,Unverified — confirm specs before scoring,fb-153,Candidate,7.0,10.0,7.0,1.0,7.0,7.0,,,,,,yes,,,,,,,,,,,
fb-278,New White ROG Vision RGB Build AMD 7800X3D Dual Screen RTX 4080 Beast 4K Gaming PC Desktop,ACTIVE,Desktop,desktop,Complete_System,1.5,UNKNOWN,RTX 4080,16.0,UNKNOWN,UNKNOWN,UNKNOWN,3699.0,No,,New,UNKNOWN,Unverified,Yes,private,FB_MARKETPLACE,facebook_marketplace_2026-06-07_processed,cards/fb-278_new-white-rog-vision-rgb-build-amd-7800x3d-dual-screen-rtx-4.md,,Passed gates,Unverified — confirm specs before scoring,fb-278,Candidate,7.0,6.0,7.0,2.0,7.0,7.0,,,,,,yes,,,,,,,,,,,
fb-301,"High end gaming or workstation pc: I9 14900KS, Nvidia RTX 4070 TI Super, 64gb Ram, 1000w..",ACTIVE,Desktop,desktop,Complete_System,1.5,UNKNOWN,RTX 4070,16.0,UNKNOWN,UNKNOWN,UNKNOWN,3850.0,No,,Used,UNKNOWN,Unverified,Yes,private,FB_MARKETPLACE,facebook_marketplace_2026-06-07_processed,cards/fb-301_high-end-gaming-or-workstation-pc-i9-14900ks-nvidia-rtx-4070.md,,Passed gates,Unverified — confirm specs before scoring,fb-301,Candidate,7.0,6.0,7.0,1.0,7.0,7.0,,,,,,yes,,,,,,,,,,,
10_alienware-aurora-r11-rtx-3090-refurbished,Alienware Aurora R11 Gaming PC,ACTIVE,Desktop,desktop_gaming_refurbished,Complete_System,2,B,NVIDIA RTX 3090 (24 GB),24.0,UNKNOWN,UNKNOWN,UNKNOWN,2300.0,No,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,cards/desktops/10_alienware-aurora-r11-rtx-3090-refurbished.md,,Passed gates,Unverified — confirm specs before scoring; AU stock: UNKNOWN,10_alienware-aurora-r11-rtx-3090-refurbished,Candidate,9,9,9,2,9,8.0,,,,,,,,,,,,,,,,,
intake-002,Supertech Computers RTX 4090 Gaming PC,ACTIVE,Desktop,desktop,Complete_System,1.5,UNKNOWN,RTX 4090,24.0,UNKNOWN,UNKNOWN,UNKNOWN,5799.0,Yes,,New,UNKNOWN,Unverified,UNKNOWN,EBAY_AU,EBAY_AU,2026-05-05_notebooklm_batch1_processed,cards/desktops/intake-002_supertech-computers-rtx-4090-gaming-pc.md,≥ 24.0GB VRAM allows budget stretch to $6000.0,Passed via exceptional override,"Exceeds $5,000 AUD budget (price: $5,799.00) [ALLOWED: ≥ 24.0GB VRAM allows budget stretch to $6000.0]; Unverified — confirm specs before scoring; AU stock: UNKNOWN",intake-002,Candidate,9,0,9,2,9,8.0,,,,,,,,,,,,,,,,,
intake-003,Dell Precision 5820 Tower Bundle,ACTIVE,Desktop,desktop,Complete_System,2,B,RTX 3090,24.0,UNKNOWN,UNKNOWN,UNKNOWN,3558.0,No,,Refurbished,UNKNOWN,Verified,Yes,EBAY_AU,EBAY_AU,2026-05-05_notebooklm_batch1_processed,cards/desktops/intake-003_dell-precision-5820-tower-bundle.md,,Passed gates,,intake-003,Candidate,9,6,9,2,9,9.0,,,,,,yes,,,,,,,,,,,
intake-004,HP Z4 G4 Workstation (Refurbished Base),ACTIVE,Desktop,desktop,Complete_System,2,B,RTX 3090,24.0,UNKNOWN,UNKNOWN,UNKNOWN,3500.0,No,,Refurbished,UNKNOWN,Unverified,Low,EBAY_AU,EBAY_AU,2026-05-05_notebooklm_batch1_processed,cards/desktops/intake-004_hp-z4-g4-workstation-refurbished-base.md,,Passed gates,Unverified — confirm specs before scoring,intake-004,Candidate,9,6,9,2,9,9.0,,,,,,,,,,,,,,,,,
intake-005,Dell Precision T7910 (Refurbished Base),ACTIVE,Desktop,desktop,Complete_System,2,B,RTX 3090,24.0,UNKNOWN,UNKNOWN,UNKNOWN,1875.0,No,,Refurbished,UNKNOWN,Unverified,Yes,EBAY_AU,EBAY_AU,2026-05-05_notebooklm_batch1_processed,cards/desktops/intake-005_dell-precision-t7910-refurbished-base.md,,Passed gates,Unverified — confirm specs before scoring,intake-005,Candidate,9,10,9,2,9,9.0,,,,,,yes,,,,,,,,,,,
intake-006,Alienware Aurora R12 (Refurbished),ACTIVE,Desktop,desktop,Complete_System,1.5,B,RTX 3090,24.0,UNKNOWN,UNKNOWN,UNKNOWN,3884.0,No,,Refurbished,UNKNOWN,Unverified,Yes,EBAY_AU,EBAY_AU,2026-05-05_notebooklm_batch1_processed,cards/desktops/intake-006_alienware-aurora-r12-refurbished.md,,Passed gates,Unverified — confirm specs before scoring,intake-006,Candidate,9,5,9,2,9,8.0,,,,,,yes,,,,,,,,,,,
intake-019,Pro build,ACTIVE,Desktop,diy build,Complete_System,1.5,UNKNOWN,RTX 4090,24.0,UNKNOWN,UNKNOWN,UNKNOWN,2899.0,No,,New,UNKNOWN,Unverified,UNKNOWN,UNKNOWN,UNKNOWN,2026-05-05_notebooklm_batch1_processed,cards/desktops/intake-019_pro-build.md,,Passed gates,Unverified — confirm specs before scoring; AU stock: UNKNOWN,intake-019,Candidate,9,7,9,2,9,8.0,,,,,,,,,,,,,,,,,
intake-022,Gaming PC Intel i9-12th Gen NVIDIA RTX 3090,ACTIVE,Desktop,desktop,Complete_System,1.5,UNKNOWN,RTX 3090,24.0,UNKNOWN,UNKNOWN,UNKNOWN,5271.98,Yes,,New,UNKNOWN,Unverified,UNKNOWN,UNKNOWN,UNKNOWN,2026-05-05_notebooklm_batch1_processed,cards/desktops/intake-022_gaming-pc-intel-i9-12th-gen-nvidia-rtx-3090.md,≥ 24.0GB VRAM allows budget stretch to $6000.0,Passed via exceptional override,"Exceeds $5,000 AUD budget (price: $5,271.98) [ALLOWED: ≥ 24.0GB VRAM allows budget stretch to $6000.0]; Unverified — confirm specs before scoring; AU stock: UNKNOWN",intake-022,Candidate,9,1,9,2,9,8.0,,,,,,,,,,,,,,,,,
intake-023,Gaming PC Jonsbo MOD 5 ASRock x570 Aqua,ACTIVE,Desktop,desktop,Complete_System,1.5,UNKNOWN,RTX 3090,24.0,UNKNOWN,UNKNOWN,UNKNOWN,3898.3,No,,Refurbished,UNKNOWN,Unverified,UNKNOWN,UNKNOWN,UNKNOWN,2026-05-05_notebooklm_batch1_processed,cards/desktops/intake-023_gaming-pc-jonsbo-mod-5-asrock-x570-aqua.md,,Passed gates,Unverified — confirm specs before scoring; AU stock: UNKNOWN,intake-023,Candidate,9,5,9,2,9,8.0,,,,,,,,,,,,,,,,,
intake-035,Specialized EVGA 3090 Custom Build,ACTIVE,Desktop,desktop,Complete_System,1.5,UNKNOWN,RTX 3090,24.0,UNKNOWN,UNKNOWN,UNKNOWN,2953.0,No,,Refurbished,UNKNOWN,Unverified,UNKNOWN,UNKNOWN,UNKNOWN,2026-05-05_notebooklm_batch1_processed,cards/desktops/intake-035_specialized-evga-3090-custom-build.md,,Passed gates,Unverified — confirm specs before scoring; AU stock: UNKNOWN,intake-035,Candidate,9,7,9,2,9,8.0,,,,,,,,,,,,,,,,,
intake-040,Recompute Dell Precision 5820 Tower + ACT ThinkPad,ACTIVE,Desktop,desktop,Complete_System,2,B,RTX 3090,24.0,UNKNOWN,UNKNOWN,UNKNOWN,3558.0,No,,Refurbished,UNKNOWN,Verified,Yes,UNKNOWN,UNKNOWN,2026-05-05_notebooklm_batch1_processed,cards/desktops/intake-040_recompute-dell-precision-5820-tower-act-thinkpad.md,,Passed gates,,intake-040,Candidate,9,6,9,2,9,9.0,,,,,,yes,,,,,,,,,,,
intake-042,HP Z4 G4 + used 3090,ACTIVE,Desktop,desktop,Complete_System,2,B,RTX 3090,24.0,UNKNOWN,UNKNOWN,UNKNOWN,2800.0,No,,Refurbished,UNKNOWN,Unverified,Mixed,UNKNOWN,UNKNOWN,2026-05-05_notebooklm_batch1_processed,cards/desktops/intake-042_hp-z4-g4-used-3090.md,,Passed gates,Unverified — confirm specs before scoring,intake-042,Candidate,9,8,9,2,9,9.0,,,,,,,,,,,,,,,,,
intake-047,Alienware Aurora R12 RTX 3090 refurbished,ACTIVE,Desktop,desktop,Complete_System,2,B,RTX 3090,24.0,UNKNOWN,UNKNOWN,UNKNOWN,3884.0,No,,Refurbished,UNKNOWN,Unverified,UNKNOWN,UNKNOWN,UNKNOWN,2026-05-05_notebooklm_batch1_processed,cards/desktops/intake-047_alienware-aurora-r12-rtx-3090-refurbished.md,,Passed gates,Unverified — confirm specs before scoring; AU stock: UNKNOWN,intake-047,Candidate,9,5,9,2,9,8.0,,,,,,,,,,,,,,,,,
intake-066,Dell Precision 5820 Tower Workstation (32GB RAM),ACTIVE,Desktop,desktop,Complete_System,2,B,RTX 3090,24.0,UNKNOWN,UNKNOWN,UNKNOWN,2399.0,No,,Refurbished,UNKNOWN,Verified,Yes,UNKNOWN,UNKNOWN,2026-05-05_notebooklm_batch1_processed,cards/desktops/intake-066_dell-precision-5820-tower-workstation-32gb-ram.md,,Passed gates,,intake-066,Candidate,9,9,9,2,9,9.0,,,,,,yes,,,,,,,,,,,
intake-024,Skytech Prism 4 Gaming PC,ACTIVE,Desktop,desktop,Complete_System,1.5,UNKNOWN,RTX 5090,32.0,UNKNOWN,UNKNOWN,UNKNOWN,6599.98,Yes,,New,UNKNOWN,Unverified,UNKNOWN,UNKNOWN,UNKNOWN,2026-05-05_notebooklm_batch1_processed,cards/desktops/intake-024_skytech-prism-4-gaming-pc.md,,Passed gates,"Exceeds $5,000 AUD budget (price: $6,599.98); Unverified — confirm specs before scoring; AU stock: UNKNOWN",intake-024,Candidate,9,0,9,2,9,8.0,,,,,,,,,,,,,,,,,
intake-025,HP OMEN 45L GT22-3090 Gaming PC,ACTIVE,Desktop,desktop,Complete_System,1.5,UNKNOWN,RTX 5090,32.0,UNKNOWN,UNKNOWN,UNKNOWN,7499.98,Yes,,New,UNKNOWN,Unverified,UNKNOWN,UNKNOWN,UNKNOWN,2026-05-05_notebooklm_batch1_processed,cards/desktops/intake-025_hp-omen-45l-gt22-3090-gaming-pc.md,,Passed gates,"Exceeds $5,000 AUD budget (price: $7,499.98); Unverified — confirm specs before scoring; AU stock: UNKNOWN",intake-025,Candidate,9,0,9,2,9,8.0,,,,,,,,,,,,,,,,,
intake-026,CLX Horus Gaming Desktop,ACTIVE,Desktop,desktop,Complete_System,1.5,UNKNOWN,RTX 5090,32.0,UNKNOWN,UNKNOWN,UNKNOWN,9899.98,Yes,,New,UNKNOWN,Unverified,UNKNOWN,UNKNOWN,UNKNOWN,2026-05-05_notebooklm_batch1_processed,cards/desktops/intake-026_clx-horus-gaming-desktop.md,,Passed gates,"Exceeds $5,000 AUD budget (price: $9,899.98); Unverified — confirm specs before scoring; AU stock: UNKNOWN",intake-026,Candidate,9,0,9,2,9,8.0,,,,,,,,,,,,,,,,,
intake-001,Dual RTX 3090 24GB GPU Pro Workstation (Pure 501 Black),ACTIVE,Desktop,desktop,Complete_System,1.5,UNKNOWN,RTX 3090,48.0,UNKNOWN,UNKNOWN,UNKNOWN,5998.5,Yes,,New,UNKNOWN,Unverified,UNKNOWN,EBAY_AU,EBAY_AU,2026-05-05_notebooklm_batch1_processed,cards/desktops/intake-001_dual-rtx-3090-24gb-gpu-pro-workstation-pure-501-black.md,≥ 24.0GB VRAM allows budget stretch to $6000.0,Passed via exceptional override,"Exceeds $5,000 AUD budget (price: $5,998.50) [ALLOWED: ≥ 24.0GB VRAM allows budget stretch to $6000.0]; Unverified — confirm specs before scoring; AU stock: UNKNOWN",intake-001,Candidate,9,0,9,2,9,8.0,,,,,,,,,,,,,,,,,
intake-028,Dual RTX 4090 24GB GPU Pro Workstation,ACTIVE,Desktop,desktop,Complete_System,1.5,UNKNOWN,RTX 4090,48.0,UNKNOWN,UNKNOWN,UNKNOWN,11998.5,Yes,,New,UNKNOWN,Unverified,UNKNOWN,UNKNOWN,UNKNOWN,2026-05-05_notebooklm_batch1_processed,cards/desktops/intake-028_dual-rtx-4090-24gb-gpu-pro-workstation.md,,Passed gates,"Exceeds $5,000 AUD budget (price: $11,998.50); Unverified — confirm specs before scoring; AU stock: UNKNOWN",intake-028,Candidate,9,0,9,2,9,8.0,,,,,,,,,,,,,,,,,
